<<<<<<< HEAD
Team1,Team2,Kolkata Knight Riders_Wins,Royal Challengers Bangalore_Wins,Total_Matches,Chennai Super Kings_Wins,Punjab Kings_Wins,Delhi Capitals_Wins,Rajasthan Royals_Wins,Mumbai Indians_Wins,Sunrisers Hyderabad_Wins,Kochi Tuskers Kerala_Wins,Pune Warriors_Wins,Rising Pune Supergiants_Wins,Gujarat Lions_Wins,Gujarat Titans_Wins,Lucknow Super Giants_Wins,Royal Challengers Bengaluru_Wins
Chennai Super Kings,Mumbai Indians,,,37,17.0,,,,20.0,,,,,,,,
Kolkata Knight Riders,Sunrisers Hyderabad,25.0,,36,,,,,,11.0,,,,,,,
Delhi Capitals,Mumbai Indians,,,35,,,16.0,,19.0,,,,,,,,
Delhi Capitals,Sunrisers Hyderabad,,,34,,,17.0,,,17.0,,,,,,,
Kolkata Knight Riders,Mumbai Indians,11.0,,34,,,,,23.0,,,,,,,,
Punjab Kings,Sunrisers Hyderabad,,,33,,14.0,,,,19.0,,,,,,,
Kolkata Knight Riders,Punjab Kings,21.0,,33,,12.0,,,,,,,,,,,
Mumbai Indians,Sunrisers Hyderabad,,,32,,,,,18.0,14.0,,,,,,,
Delhi Capitals,Kolkata Knight Riders,18.0,,32,,,14.0,,,,,,,,,,
Royal Challengers Bangalore,Sunrisers Hyderabad,,15.0,32,,,,,,17.0,,,,,,,
Delhi Capitals,Punjab Kings,,,32,,17.0,15.0,,,,,,,,,,
Kolkata Knight Riders,Royal Challengers Bangalore,18.0,14.0,32,,,,,,,,,,,,,
Mumbai Indians,Royal Challengers Bangalore,,13.0,31,,,,,18.0,,,,,,,,
Mumbai Indians,Punjab Kings,,,31,,14.0,,,17.0,,,,,,,,
Chennai Super Kings,Sunrisers Hyderabad,,,31,21.0,,,,,10.0,,,,,,,
Punjab Kings,Royal Challengers Bangalore,,14.0,31,,17.0,,,,,,,,,,,
Chennai Super Kings,Royal Challengers Bangalore,,10.0,30,20.0,,,,,,,,,,,,
Chennai Super Kings,Delhi Capitals,,,30,19.0,,11.0,,,,,,,,,,
Chennai Super Kings,Kolkata Knight Riders,10.0,,29,19.0,,,,,,,,,,,,
Chennai Super Kings,Punjab Kings,,,29,16.0,13.0,,,,,,,,,,,
Delhi Capitals,Rajasthan Royals,,,29,,,14.0,15.0,,,,,,,,,
Mumbai Indians,Rajasthan Royals,,,29,,,,14.0,15.0,,,,,,,,
Chennai Super Kings,Rajasthan Royals,,,29,16.0,,,13.0,,,,,,,,,
Rajasthan Royals,Sunrisers Hyderabad,,,29,,,,16.0,,13.0,,,,,,,
Delhi Capitals,Royal Challengers Bangalore,,17.0,28,,,11.0,,,,,,,,,,
Rajasthan Royals,Royal Challengers Bangalore,,15.0,27,,,,12.0,,,,,,,,,
Punjab Kings,Rajasthan Royals,,,27,,11.0,,16.0,,,,,,,,,
Kolkata Knight Riders,Rajasthan Royals,14.0,,26,,,,12.0,,,,,,,,,
Chennai Super Kings,Gujarat Titans,,,7,3.0,,,,,,,,,,4.0,,
Mumbai Indians,Pune Warriors,,,6,,,,,5.0,,,1.0,,,,,
Lucknow Super Giants,Mumbai Indians,,,6,,,,,1.0,,,,,,,5.0,
Gujarat Titans,Rajasthan Royals,,,6,,,,1.0,,,,,,,5.0,,
Mumbai Indians,Rising Pune Supergiants,,,6,,,,,2.0,,,,4.0,,,,
Chennai Super Kings,Pune Warriors,,,6,4.0,,,,,,,2.0,,,,,
Pune Warriors,Sunrisers Hyderabad,,,6,,,,,,5.0,,1.0,,,,,
Pune Warriors,Punjab Kings,,,6,,3.0,,,,,,3.0,,,,,
Gujarat Lions,Sunrisers Hyderabad,,,5,,,,,,5.0,,,,0.0,,,
Gujarat Titans,Lucknow Super Giants,,,5,,,,,,,,,,,4.0,1.0,
Gujarat Titans,Mumbai Indians,,,5,,,,,2.0,,,,,,3.0,,
Pune Warriors,Royal Challengers Bangalore,,5.0,5,,,,,,,,0.0,,,,,
Pune Warriors,Rajasthan Royals,,,5,,,,4.0,,,,1.0,,,,,
